Brand,label,search_key,manufacturer,source_view,confidence,note
A. Datum,A. Datum,a. datum,A. Datum Corporation,dim_contoso_product,I,value set measured on 132 of 2517 served product rows
Adventure Works,Adventure Works,adventure works,Adventure Works,dim_contoso_product,I,value set measured on 192 of 2517 served product rows
Contoso,Contoso,contoso,"Contoso, Ltd",dim_contoso_product,I,value set measured on 710 of 2517 served product rows
Fabrikam,Fabrikam,fabrikam,"Fabrikam, Inc.",dim_contoso_product,I,value set measured on 267 of 2517 served product rows
Litware,Litware,litware,"Litware, Inc.",dim_contoso_product,I,value set measured on 264 of 2517 served product rows
Northwind Traders,Northwind Traders,northwind traders,Northwind Traders,dim_contoso_product,I,value set measured on 47 of 2517 served product rows
Proseware,Proseware,proseware,"Proseware, Inc.",dim_contoso_product,I,value set measured on 244 of 2517 served product rows
Southridge Video,Southridge Video,southridge video,Southridge Video,dim_contoso_product,I,value set measured on 192 of 2517 served product rows
Tailspin Toys,Tailspin Toys,tailspin toys,Tailspin Toys,dim_contoso_product,I,value set measured on 144 of 2517 served product rows
The Phone Company,The Phone Company,the phone company,The Phone Company,dim_contoso_product,I,value set measured on 152 of 2517 served product rows
Wide World Importers,Wide World Importers,wide world importers,Wide World Importers,dim_contoso_product,I,value set measured on 173 of 2517 served product rows
