ProductKey,label,search_key,product_code,brand,category_key,subcategory_key,source_view,confidence,note
1,Contoso 512MB MP3 Player E51 Silver,contoso 512mb mp3 player e51 silver,0101001,Contoso,1,101,dim_contoso_product,I,
2,Contoso 512MB MP3 Player E51 Blue,contoso 512mb mp3 player e51 blue,0101002,Contoso,1,101,dim_contoso_product,I,
3,Contoso 1G MP3 Player E100 White,contoso 1g mp3 player e100 white,0101003,Contoso,1,101,dim_contoso_product,I,
4,Contoso 2G MP3 Player E200 Silver,contoso 2g mp3 player e200 silver,0101004,Contoso,1,101,dim_contoso_product,I,
5,Contoso 2G MP3 Player E200 Red,contoso 2g mp3 player e200 red,0101005,Contoso,1,101,dim_contoso_product,I,
6,Contoso 2G MP3 Player E200 Black,contoso 2g mp3 player e200 black,0101006,Contoso,1,101,dim_contoso_product,I,
7,Contoso 2G MP3 Player E200 Blue,contoso 2g mp3 player e200 blue,0101007,Contoso,1,101,dim_contoso_product,I,
8,Contoso 4G MP3 Player E400 Silver,contoso 4g mp3 player e400 silver,0101008,Contoso,1,101,dim_contoso_product,I,
9,Contoso 4G MP3 Player E400 Black,contoso 4g mp3 player e400 black,0101009,Contoso,1,101,dim_contoso_product,I,
10,Contoso 4G MP3 Player E400 Green,contoso 4g mp3 player e400 green,0101010,Contoso,1,101,dim_contoso_product,I,
11,Contoso 4G MP3 Player E400 Orange,contoso 4g mp3 player e400 orange,0101011,Contoso,1,101,dim_contoso_product,I,
12,Contoso 4GB Flash MP3 Player E401 Blue,contoso 4gb flash mp3 player e401 blue,0101012,Contoso,1,101,dim_contoso_product,I,
13,Contoso 4GB Flash MP3 Player E401 Black,contoso 4gb flash mp3 player e401 black,0101013,Contoso,1,101,dim_contoso_product,I,
14,Contoso 4GB Flash MP3 Player E401 Silver,contoso 4gb flash mp3 player e401 silver,0101014,Contoso,1,101,dim_contoso_product,I,
15,Contoso 4GB Flash MP3 Player E401 White,contoso 4gb flash mp3 player e401 white,0101015,Contoso,1,101,dim_contoso_product,I,
16,Contoso 8GB Super-Slim MP3/Video Player M800 White,contoso 8gb super-slim mp3/video player m800 white,0101016,Contoso,1,101,dim_contoso_product,I,
17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,contoso 8gb super-slim mp3/video player m800 red,0101017,Contoso,1,101,dim_contoso_product,I,
18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,contoso 8gb super-slim mp3/video player m800 green,0101018,Contoso,1,101,dim_contoso_product,I,
19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,contoso 8gb super-slim mp3/video player m800 pink,0101019,Contoso,1,101,dim_contoso_product,I,
20,Contoso 8GB MP3 Player new model M820 Black,contoso 8gb mp3 player new model m820 black,0101020,Contoso,1,101,dim_contoso_product,I,
21,Contoso 8GB MP3 Player new model M820 Blue,contoso 8gb mp3 player new model m820 blue,0101021,Contoso,1,101,dim_contoso_product,I,
22,Contoso 8GB MP3 Player new model M820 Yellow,contoso 8gb mp3 player new model m820 yellow,0101022,Contoso,1,101,dim_contoso_product,I,
23,Contoso 8GB MP3 Player new model M820 White,contoso 8gb mp3 player new model m820 white,0101023,Contoso,1,101,dim_contoso_product,I,
24,Contoso 16GB Mp5 Player M1600 Blue,contoso 16gb mp5 player m1600 blue,0101024,Contoso,1,101,dim_contoso_product,I,
25,Contoso 16GB Mp5 Player M1600 Black,contoso 16gb mp5 player m1600 black,0101025,Contoso,1,101,dim_contoso_product,I,
26,Contoso 16GB Mp5 Player M1600 Green,contoso 16gb mp5 player m1600 green,0101026,Contoso,1,101,dim_contoso_product,I,
27,Contoso 16GB Mp5 Player M1600 White,contoso 16gb mp5 player m1600 white,0101027,Contoso,1,101,dim_contoso_product,I,
28,Contoso 16GB Mp5 Player M1600 Red,contoso 16gb mp5 player m1600 red,0101028,Contoso,1,101,dim_contoso_product,I,
29,Contoso 32GB Video MP3 Player M3200 White,contoso 32gb video mp3 player m3200 white,0101029,Contoso,1,101,dim_contoso_product,I,
30,Contoso 32GB Video MP3 Player M3200 Red,contoso 32gb video mp3 player m3200 red,0101030,Contoso,1,101,dim_contoso_product,I,
31,Contoso 32GB Video MP3 Player M3200 Orange,contoso 32gb video mp3 player m3200 orange,0101031,Contoso,1,101,dim_contoso_product,I,
32,Contoso 32GB Video MP3 Player M3200 Pink,contoso 32gb video mp3 player m3200 pink,0101032,Contoso,1,101,dim_contoso_product,I,
33,Contoso 32GB Video MP3 Player M3200 Black,contoso 32gb video mp3 player m3200 black,0101033,Contoso,1,101,dim_contoso_product,I,
34,Contoso 4GB Portable MP3 Player M450 Black,contoso 4gb portable mp3 player m450 black,0101034,Contoso,1,101,dim_contoso_product,I,
35,Contoso 4GB Portable MP3 Player M450 White,contoso 4gb portable mp3 player m450 white,0101035,Contoso,1,101,dim_contoso_product,I,
36,Contoso 4GB Portable MP3 Player M450 Yellow,contoso 4gb portable mp3 player m450 yellow,0101036,Contoso,1,101,dim_contoso_product,I,
37,Contoso 8GB Clock & Radio MP3 Player X850 Silver,contoso 8gb clock & radio mp3 player x850 silver,0101037,Contoso,1,101,dim_contoso_product,I,
38,Contoso 8GB Clock & Radio MP3 Player X850 Black,contoso 8gb clock & radio mp3 player x850 black,0101038,Contoso,1,101,dim_contoso_product,I,
39,Contoso 8GB Clock & Radio MP3 Player X850 Green,contoso 8gb clock & radio mp3 player x850 green,0101039,Contoso,1,101,dim_contoso_product,I,
40,Contoso 8GB Clock & Radio MP3 Player X850 Blue,contoso 8gb clock & radio mp3 player x850 blue,0101040,Contoso,1,101,dim_contoso_product,I,
41,Contoso 16GB New Generation MP5 Player M1650 Silver,contoso 16gb new generation mp5 player m1650 silver,0101041,Contoso,1,101,dim_contoso_product,I,
42,Contoso 16GB New Generation MP5 Player M1650 White,contoso 16gb new generation mp5 player m1650 white,0101042,Contoso,1,101,dim_contoso_product,I,
43,Contoso 16GB New Generation MP5 Player M1650 Black,contoso 16gb new generation mp5 player m1650 black,0101043,Contoso,1,101,dim_contoso_product,I,
44,Contoso 16GB New Generation MP5 Player M1650 blue,contoso 16gb new generation mp5 player m1650 blue,0101044,Contoso,1,101,dim_contoso_product,I,
45,Contoso 16GB New Generation MP5 Player M1650 Pink,contoso 16gb new generation mp5 player m1650 pink,0101045,Contoso,1,101,dim_contoso_product,I,
46,WWI 1GB Pulse Smart pen E50 White,wwi 1gb pulse smart pen e50 white,0104001,Wide World Importers,1,104,dim_contoso_product,I,
47,WWI 1GBPulse Smart pen E50 Black,wwi 1gbpulse smart pen e50 black,0104002,Wide World Importers,1,104,dim_contoso_product,I,
48,WWI 1GB Pulse Smart pen E50 Silver,wwi 1gb pulse smart pen e50 silver,0104003,Wide World Importers,1,104,dim_contoso_product,I,
49,WWI 2GB Pulse Smart pen M100 White,wwi 2gb pulse smart pen m100 white,0104004,Wide World Importers,1,104,dim_contoso_product,I,
50,WWI 2GB Pulse Smart pen M100 Black,wwi 2gb pulse smart pen m100 black,0104005,Wide World Importers,1,104,dim_contoso_product,I,
51,WWI 2GB Pulse Smart pen M100 Blue,wwi 2gb pulse smart pen m100 blue,0104006,Wide World Importers,1,104,dim_contoso_product,I,
52,WWI 2GB Pulse Smart pen M100 Silver,wwi 2gb pulse smart pen m100 silver,0104007,Wide World Importers,1,104,dim_contoso_product,I,
53,WWI 4GB Video Recording Pen X200 Black,wwi 4gb video recording pen x200 black,0104008,Wide World Importers,1,104,dim_contoso_product,I,
54,WWI 4GB Video Recording Pen X200 Red,wwi 4gb video recording pen x200 red,0104009,Wide World Importers,1,104,dim_contoso_product,I,
55,WWI 4GB Video Recording Pen X200 Pink,wwi 4gb video recording pen x200 pink,0104010,Wide World Importers,1,104,dim_contoso_product,I,
56,WWI 4GB Video Recording Pen X200 Yellow,wwi 4gb video recording pen x200 yellow,0104011,Wide World Importers,1,104,dim_contoso_product,I,
57,WWI 1GB Digital Voice Recorder Pen E100 Black,wwi 1gb digital voice recorder pen e100 black,0104012,Wide World Importers,1,104,dim_contoso_product,I,
58,WWI 1GB Digital Voice Recorder Pen E100 Red,wwi 1gb digital voice recorder pen e100 red,0104013,Wide World Importers,1,104,dim_contoso_product,I,
59,WWI 1GB Digital Voice Recorder Pen E100 Pink,wwi 1gb digital voice recorder pen e100 pink,0104014,Wide World Importers,1,104,dim_contoso_product,I,
60,WWI 1GB Digital Voice Recorder Pen E100 White,wwi 1gb digital voice recorder pen e100 white,0104015,Wide World Importers,1,104,dim_contoso_product,I,
61,WWI 2GB Spy Video Recorder Pen M300 Black,wwi 2gb spy video recorder pen m300 black,0104016,Wide World Importers,1,104,dim_contoso_product,I,
62,WWI 2GB Spy Video Recorder Pen M300 White,wwi 2gb spy video recorder pen m300 white,0104017,Wide World Importers,1,104,dim_contoso_product,I,
