StoreKey,label,search_key,store_code,country,state,status,source_view,confidence,note
10,Contoso Store Australian Capital Territory,contoso store australian capital territory,1,AU,Australian Capital Territory,,dim_contoso_store,I,
20,Contoso Store Northern Territory,contoso store northern territory,2,AU,Northern Territory,Closed,dim_contoso_store,I,
30,Contoso Store South Australia,contoso store south australia,3,AU,South Australia,Restructured,dim_contoso_store,I,
35,Contoso Store South Australia,contoso store south australia,3,AU,South Australia,,dim_contoso_store,I,
40,Contoso Store Tasmania,contoso store tasmania,4,AU,Tasmania,,dim_contoso_store,I,
50,Contoso Store Victoria,contoso store victoria,5,AU,Victoria,,dim_contoso_store,I,
60,Contoso Store Western Australia,contoso store western australia,6,AU,Western Australia,,dim_contoso_store,I,
70,Contoso Store New Brunswick,contoso store new brunswick,7,CA,New Brunswick,Restructured,dim_contoso_store,I,
72,Contoso Store New Brunswick,contoso store new brunswick,7,CA,New Brunswick,Restructured,dim_contoso_store,I,
74,Contoso Store New Brunswick,contoso store new brunswick,7,CA,New Brunswick,,dim_contoso_store,I,
80,Contoso Store Newfoundland and Labrador,contoso store newfoundland and labrador,8,CA,Newfoundland and Labrador,,dim_contoso_store,I,
90,Contoso Store Northwest Territories,contoso store northwest territories,9,CA,Northwest Territories,,dim_contoso_store,I,
100,Contoso Store Nunavut,contoso store nunavut,10,CA,Nunavut,,dim_contoso_store,I,
110,Contoso Store Yukon,contoso store yukon,11,CA,Yukon,Closed,dim_contoso_store,I,
120,Contoso Store Basse-Normandie,contoso store basse-normandie,12,FR,Basse-Normandie,,dim_contoso_store,I,
130,Contoso Store Corse,contoso store corse,13,FR,Corse,,dim_contoso_store,I,
140,Contoso Store Franche-Comté,contoso store franche-comté,14,FR,Franche-Comté,,dim_contoso_store,I,
150,Contoso Store La Réunion,contoso store la réunion,15,FR,La Réunion,,dim_contoso_store,I,
160,Contoso Store Limousin,contoso store limousin,16,FR,Limousin,,dim_contoso_store,I,
170,Contoso Store Martinique,contoso store martinique,17,FR,Martinique,,dim_contoso_store,I,
180,Contoso Store Mayotte,contoso store mayotte,18,FR,Mayotte,,dim_contoso_store,I,
190,Contoso Store Berlin,contoso store berlin,19,DE,Berlin,,dim_contoso_store,I,
200,Contoso Store Brandenburg,contoso store brandenburg,20,DE,Brandenburg,Closed,dim_contoso_store,I,
210,Contoso Store Freie Hansestadt Bremen,contoso store freie hansestadt bremen,21,DE,Freie Hansestadt Bremen,,dim_contoso_store,I,
220,Contoso Store Freistaat Thüringen,contoso store freistaat thüringen,22,DE,Freistaat Thüringen,,dim_contoso_store,I,
230,Contoso Store Hamburg,contoso store hamburg,23,DE,Hamburg,,dim_contoso_store,I,
240,Contoso Store Hessen,contoso store hessen,24,DE,Hessen,,dim_contoso_store,I,
250,Contoso Store Mecklenburg-Vorpommern,contoso store mecklenburg-vorpommern,25,DE,Mecklenburg-Vorpommern,Restructured,dim_contoso_store,I,
255,Contoso Store Mecklenburg-Vorpommern,contoso store mecklenburg-vorpommern,25,DE,Mecklenburg-Vorpommern,,dim_contoso_store,I,
260,Contoso Store Saarland,contoso store saarland,26,DE,Saarland,,dim_contoso_store,I,
270,Contoso Store Sachsen-Anhalt,contoso store sachsen-anhalt,27,DE,Sachsen-Anhalt,,dim_contoso_store,I,
280,Contoso Store Caltanissetta,contoso store caltanissetta,28,IT,Caltanissetta,Closed,dim_contoso_store,I,
290,Contoso Store Enna,contoso store enna,29,IT,Enna,,dim_contoso_store,I,
300,Contoso Store Pesaro,contoso store pesaro,30,IT,Pesaro,,dim_contoso_store,I,
310,Contoso Store Drenthe,contoso store drenthe,31,NL,Drenthe,,dim_contoso_store,I,
320,Contoso Store Flevoland,contoso store flevoland,32,NL,Flevoland,,dim_contoso_store,I,
330,Contoso Store Friesland,contoso store friesland,33,NL,Friesland,,dim_contoso_store,I,
340,Contoso Store Groningen,contoso store groningen,34,NL,Groningen,,dim_contoso_store,I,
