Date,FromCurrency,ToCurrency,Exchange
2016-01-01 00:00:00.000,AUD,AUD,1.00000
2016-01-01 00:00:00.000,AUD,CAD,1.01470
2016-01-01 00:00:00.000,AUD,EUR,0.67128
2016-01-01 00:00:00.000,AUD,GBP,0.49268
2016-01-01 00:00:00.000,AUD,USD,0.73082
2016-01-01 00:00:00.000,CAD,AUD,0.98551
2016-01-01 00:00:00.000,CAD,CAD,1.00000
2016-01-01 00:00:00.000,CAD,EUR,0.66155
2016-01-01 00:00:00.000,CAD,GBP,0.48555
2016-01-01 00:00:00.000,CAD,USD,0.72023
2016-01-01 00:00:00.000,EUR,AUD,1.48970
2016-01-01 00:00:00.000,EUR,CAD,1.51160
2016-01-01 00:00:00.000,EUR,EUR,1.00000
2016-01-01 00:00:00.000,EUR,GBP,0.73395
2016-01-01 00:00:00.000,EUR,USD,1.08870
2016-01-01 00:00:00.000,GBP,AUD,2.02970
2016-01-01 00:00:00.000,GBP,CAD,2.05954
2016-01-01 00:00:00.000,GBP,EUR,1.36249
2016-01-01 00:00:00.000,GBP,GBP,1.00000
2016-01-01 00:00:00.000,GBP,USD,1.48334
