Date,DateKey,Year,YearQuarter,YearQuarterNumber,Quarter,YearMonth,YearMonthShort,YearMonthNumber,Month,MonthShort,MonthNumber,DayofWeek,DayofWeekShort,DayofWeekNumber,WorkingDay,WorkingDayNumber
2016-01-01,20160101,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Friday,Fri,6,0,0
2016-01-02,20160102,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Saturday,Sat,7,0,0
2016-01-03,20160103,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Sunday,Sun,1,0,0
2016-01-04,20160104,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Monday,Mon,2,1,1
2016-01-05,20160105,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Tuesday,Tue,3,1,2
2016-01-06,20160106,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Wednesday,Wed,4,1,3
2016-01-07,20160107,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Thursday,Thu,5,1,4
2016-01-08,20160108,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Friday,Fri,6,1,5
2016-01-09,20160109,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Saturday,Sat,7,0,5
2016-01-10,20160110,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Sunday,Sun,1,0,5
2016-01-11,20160111,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Monday,Mon,2,1,6
2016-01-12,20160112,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Tuesday,Tue,3,1,7
2016-01-13,20160113,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Wednesday,Wed,4,1,8
2016-01-14,20160114,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Thursday,Thu,5,1,9
2016-01-15,20160115,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Friday,Fri,6,1,10
2016-01-16,20160116,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Saturday,Sat,7,0,10
2016-01-17,20160117,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Sunday,Sun,1,0,10
2016-01-18,20160118,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Monday,Mon,2,0,10
2016-01-19,20160119,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Tuesday,Tue,3,1,11
2016-01-20,20160120,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Wednesday,Wed,4,1,12
