CustomerKey,GeoAreaKey,StartDT,EndDT,Continent,CountryFull,Country,StateFull,State,City,ZipCode,Gender,age_band_5y
120,6,1983-07-23,2033-08-09,Australia,Australia,AU,Tasmania,TAS,Reekara,7256,male,75
15,4,1990-09-10,2034-07-29,Australia,Australia,AU,Queensland,QLD,Canning Creek,4357,male,60
180,7,1987-11-26,2026-10-14,Australia,Australia,AU,Victoria,VIC,Yelta,3505,male,70
185,2,1990-08-01,2029-05-28,Australia,Australia,AU,New South Wales,NSW,Mallanganee,2469,female,45
189,7,2008-07-05,2017-11-01,Australia,Australia,AU,Victoria,VIC,Rocky Point,3377,female,65
210,2,1980-09-28,2030-05-08,Australia,Australia,AU,New South Wales,NSW,Paddys Flat,2632,female,75
225,7,1985-06-25,2017-09-25,Australia,Australia,AU,Victoria,VIC,Kinglake,3763,male,45
23,8,1995-08-11,2045-01-26,Australia,Australia,AU,Western Australia,WA,Guildford,6055,female,35
243,2,1982-02-07,2027-02-09,Australia,Australia,AU,New South Wales,NSW,Kindee,2446,female,70
276,7,2002-03-10,2021-02-18,Australia,Australia,AU,Victoria,VIC,Belvedere Park,3198,male,55
311,7,1989-09-13,2026-08-13,Australia,Australia,AU,Victoria,VIC,Teddywaddy,3525,female,70
322,2,1993-09-27,2031-06-30,Australia,Australia,AU,New South Wales,NSW,Green Creek,2338,female,50
36,2,1992-03-12,2044-05-14,Australia,Australia,AU,New South Wales,NSW,Mayfield North,2304,female,60
385,5,2004-11-22,2034-12-17,Australia,Australia,AU,South Australia,SA,Flaxman Valley,5235,female,25
387,8,1989-06-28,2042-10-13,Australia,Australia,AU,Western Australia,WA,Coolbellup,6163,female,40
406,5,1994-08-16,2042-01-06,Australia,Australia,AU,South Australia,SA,Cowell,5602,male,50
423,7,1991-10-21,2045-08-30,Australia,Australia,AU,Victoria,VIC,Gormandale,3873,female,50
493,7,2002-12-24,2038-10-27,Australia,Australia,AU,Victoria,VIC,Bangerang,3393,female,45
501,4,2005-11-22,2027-03-01,Australia,Australia,AU,Queensland,QLD,Ooralea,4740,male,35
505,2,1985-11-05,2044-11-06,Australia,Australia,AU,New South Wales,NSW,Tapitallee,2540,female,65
