ProductKey,ProductCode,ProductName,Manufacturer,Brand,Color,WeightUnit,Weight,Cost,Price,CategoryKey,CategoryName,SubCategoryKey,SubCategoryName
1,0101001,Contoso 512MB MP3 Player E51 Silver,"Contoso, Ltd",Contoso,Silver,ounces,4.80000,6.62000,12.99000,1,Audio,101,MP4&MP3
10,0101010,Contoso 4G MP3 Player E400 Green,"Contoso, Ltd",Contoso,Green,ounces,11.00000,30.58000,59.99000,1,Audio,101,MP4&MP3
11,0101011,Contoso 4G MP3 Player E400 Orange,"Contoso, Ltd",Contoso,Orange,ounces,14.10000,30.58000,59.99000,1,Audio,101,MP4&MP3
12,0101012,Contoso 4GB Flash MP3 Player E401 Blue,"Contoso, Ltd",Contoso,Blue,ounces,7.40000,35.72000,77.68000,1,Audio,101,MP4&MP3
13,0101013,Contoso 4GB Flash MP3 Player E401 Black,"Contoso, Ltd",Contoso,Black,ounces,2.60000,35.72000,77.68000,1,Audio,101,MP4&MP3
14,0101014,Contoso 4GB Flash MP3 Player E401 Silver,"Contoso, Ltd",Contoso,Silver,ounces,8.00000,35.72000,77.68000,1,Audio,101,MP4&MP3
15,0101015,Contoso 4GB Flash MP3 Player E401 White,"Contoso, Ltd",Contoso,White,ounces,2.10000,35.72000,77.68000,1,Audio,101,MP4&MP3
16,0101016,Contoso 8GB Super-Slim MP3/Video Player M800 White,"Contoso, Ltd",Contoso,White,ounces,11.00000,50.56000,109.95000,1,Audio,101,MP4&MP3
17,0101017,Contoso 8GB Super-Slim MP3/Video Player M800 Red,"Contoso, Ltd",Contoso,Red,ounces,11.00000,50.56000,109.95000,1,Audio,101,MP4&MP3
18,0101018,Contoso 8GB Super-Slim MP3/Video Player M800 Green,"Contoso, Ltd",Contoso,Green,ounces,2.10000,50.56000,109.95000,1,Audio,101,MP4&MP3
19,0101019,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,"Contoso, Ltd",Contoso,Pink,ounces,5.90000,50.56000,109.95000,1,Audio,101,MP4&MP3
2,0101002,Contoso 512MB MP3 Player E51 Blue,"Contoso, Ltd",Contoso,Blue,ounces,4.10000,6.62000,12.99000,1,Audio,101,MP4&MP3
20,0101020,Contoso 8GB MP3 Player new model M820 Black,"Contoso, Ltd",Contoso,Black,pounds,1.00000,61.62000,134.00000,1,Audio,101,MP4&MP3
3,0101003,Contoso 1G MP3 Player E100 White,"Contoso, Ltd",Contoso,White,ounces,4.50000,7.40000,14.52000,1,Audio,101,MP4&MP3
4,0101004,Contoso 2G MP3 Player E200 Silver,"Contoso, Ltd",Contoso,Silver,ounces,4.50000,11.00000,21.57000,1,Audio,101,MP4&MP3
5,0101005,Contoso 2G MP3 Player E200 Red,"Contoso, Ltd",Contoso,Red,ounces,2.40000,11.00000,21.57000,1,Audio,101,MP4&MP3
6,0101006,Contoso 2G MP3 Player E200 Black,"Contoso, Ltd",Contoso,Black,ounces,8.80000,11.00000,21.57000,1,Audio,101,MP4&MP3
7,0101007,Contoso 2G MP3 Player E200 Blue,"Contoso, Ltd",Contoso,Blue,ounces,2.10000,11.00000,21.57000,1,Audio,101,MP4&MP3
8,0101008,Contoso 4G MP3 Player E400 Silver,"Contoso, Ltd",Contoso,Silver,ounces,5.60000,30.58000,59.99000,1,Audio,101,MP4&MP3
9,0101009,Contoso 4G MP3 Player E400 Black,"Contoso, Ltd",Contoso,Black,ounces,2.10000,30.58000,59.99000,1,Audio,101,MP4&MP3
