StoreKey,StoreCode,GeoAreaKey,CountryCode,CountryName,State,Description,OpenDate,CloseDate,SquareMeters,Status
10,1,1,AU,Australia,Australian Capital Territory,Contoso Store Australian Capital Territory,2008-01-01,,595,
100,10,16,CA,Canada,Nunavut,Contoso Store Nunavut,2015-04-04,,1210,
110,11,21,CA,Canada,Yukon,Contoso Store Yukon,2009-06-03,2015-05-05,1210,Closed
120,12,41,FR,France,Basse-Normandie,Contoso Store Basse-Normandie,2012-06-06,,350,
130,13,46,FR,France,Corse,Contoso Store Corse,2013-06-07,,245,
140,14,47,FR,France,Franche-Comté,Contoso Store Franche-Comté,2009-12-15,,350,
150,15,55,FR,France,La Réunion,Contoso Store La Réunion,2015-01-01,,400,
160,16,52,FR,France,Limousin,Contoso Store Limousin,2010-06-03,,385,
170,17,57,FR,France,Martinique,Contoso Store Martinique,2007-07-08,,350,
20,2,3,AU,Australia,Northern Territory,Contoso Store Northern Territory,2008-01-12,2016-07-07,665,Closed
30,3,5,AU,Australia,South Australia,Contoso Store South Australia,2012-01-07,2015-08-08,2000,Restructured
35,3,5,AU,Australia,South Australia,Contoso Store South Australia,2015-12-08,,3000,
40,4,6,AU,Australia,Tasmania,Contoso Store Tasmania,2010-01-01,,2000,
50,5,7,AU,Australia,Victoria,Contoso Store Victoria,2015-12-09,,2000,
60,6,8,AU,Australia,Western Australia,Contoso Store Western Australia,2010-01-01,,2000,
70,7,12,CA,Canada,New Brunswick,Contoso Store New Brunswick,2007-05-07,2014-03-09,1105,Restructured
72,7,12,CA,Canada,New Brunswick,Contoso Store New Brunswick,2015-01-11,2018-02-02,1500,Restructured
74,7,12,CA,Canada,New Brunswick,Contoso Store New Brunswick,2018-06-02,,3500,
80,8,13,CA,Canada,Newfoundland and Labrador,Contoso Store Newfoundland and Labrador,2014-07-02,,2105,
90,9,15,CA,Canada,Northwest Territories,Contoso Store Northwest Territories,2005-03-04,,1500,
