OrderKey,CustomerKey,StoreKey,DT,DeliveryDate,CurrencyCode
139000,1293529,430,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,USD
139001,915563,410,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,GBP
139002,1133937,410,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,GBP
139003,1709426,670,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,USD
139004,1307908,610,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,USD
139005,953288,999999,2016-05-18 00:00:00.000,2016-05-22 00:00:00.000,GBP
139006,1854427,530,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,USD
139007,1523720,585,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,USD
139008,1062514,420,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,GBP
139009,1626031,440,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,USD
140000,1145987,420,2016-05-19 00:00:00.000,2016-05-19 00:00:00.000,GBP
140001,1797935,530,2016-05-19 00:00:00.000,2016-05-19 00:00:00.000,USD
140002,420797,220,2016-05-19 00:00:00.000,2016-05-19 00:00:00.000,EUR
140003,303329,72,2016-05-19 00:00:00.000,2016-05-19 00:00:00.000,CAD
140004,986540,360,2016-05-19 00:00:00.000,2016-05-19 00:00:00.000,GBP
140005,709781,999999,2016-05-19 00:00:00.000,2016-05-24 00:00:00.000,EUR
140006,908746,420,2016-05-19 00:00:00.000,2016-05-19 00:00:00.000,GBP
140007,1003750,360,2016-05-19 00:00:00.000,2016-05-19 00:00:00.000,GBP
140008,1232222,470,2016-05-19 00:00:00.000,2016-05-19 00:00:00.000,USD
140009,847319,330,2016-05-19 00:00:00.000,2016-05-19 00:00:00.000,EUR
