StoreKey,StoreCode,GeoAreaKey,CountryCode,CountryName,State,OpenDate,CloseDate,Description,SquareMeters,Status
10,1,1,AU,Australia,Australian Capital Territory,2008-01-01 00:00:00.000,,Contoso Store Australian Capital Territory,595,
100,10,16,CA,Canada,Nunavut,2015-04-04 00:00:00.000,,Contoso Store Nunavut,1210,
110,11,21,CA,Canada,Yukon,2009-06-03 00:00:00.000,2015-05-05 00:00:00.000,Contoso Store Yukon,1210,Closed
120,12,41,FR,France,Basse-Normandie,2012-06-06 00:00:00.000,,Contoso Store Basse-Normandie,350,
130,13,46,FR,France,Corse,2013-06-07 00:00:00.000,,Contoso Store Corse,245,
140,14,47,FR,France,Franche-Comté,2009-12-15 00:00:00.000,,Contoso Store Franche-Comté,350,
150,15,55,FR,France,La Réunion,2015-01-01 00:00:00.000,,Contoso Store La Réunion,400,
160,16,52,FR,France,Limousin,2010-06-03 00:00:00.000,,Contoso Store Limousin,385,
170,17,57,FR,France,Martinique,2007-07-08 00:00:00.000,,Contoso Store Martinique,350,
20,2,3,AU,Australia,Northern Territory,2008-01-12 00:00:00.000,2016-07-07 00:00:00.000,Contoso Store Northern Territory,665,Closed
30,3,5,AU,Australia,South Australia,2012-01-07 00:00:00.000,2015-08-08 00:00:00.000,Contoso Store South Australia,2000,Restructured
35,3,5,AU,Australia,South Australia,2015-12-08 00:00:00.000,,Contoso Store South Australia,3000,
40,4,6,AU,Australia,Tasmania,2010-01-01 00:00:00.000,,Contoso Store Tasmania,2000,
50,5,7,AU,Australia,Victoria,2015-12-09 00:00:00.000,,Contoso Store Victoria,2000,
60,6,8,AU,Australia,Western Australia,2010-01-01 00:00:00.000,,Contoso Store Western Australia,2000,
70,7,12,CA,Canada,New Brunswick,2007-05-07 00:00:00.000,2014-03-09 00:00:00.000,Contoso Store New Brunswick,1105,Restructured
72,7,12,CA,Canada,New Brunswick,2015-01-11 00:00:00.000,2018-02-02 00:00:00.000,Contoso Store New Brunswick,1500,Restructured
74,7,12,CA,Canada,New Brunswick,2018-06-02 00:00:00.000,,Contoso Store New Brunswick,3500,
80,8,13,CA,Canada,Newfoundland and Labrador,2014-07-02 00:00:00.000,,Contoso Store Newfoundland and Labrador,2105,
90,9,15,CA,Canada,Northwest Territories,2005-03-04 00:00:00.000,,Contoso Store Northwest Territories,1500,
