OrderKey,RowNumber,OrderDate,DeliveryDate,CustomerKey,StoreKey,ProductKey,CurrencyCode,Quantity,UnitPrice,NetPrice,UnitCost
139000,0,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,1293529,430,153,USD,2,375.97600,375.97600,172.89600
139000,1,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,1293529,430,1621,USD,8,7.79400,7.79400,3.97200
139001,0,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,915563,410,279,GBP,3,239.20000,227.24000,121.95200
139001,1,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,915563,410,1806,GBP,1,22.40000,22.40000,11.41700
139002,0,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,1133937,410,125,GBP,2,114.72000,103.24800,58.48800
139002,1,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,1133937,410,157,GBP,1,879.99200,879.99200,404.68000
139002,2,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,1133937,410,55,GBP,5,222.00000,222.00000,73.55250
139002,3,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,1133937,410,43,GBP,6,174.00000,174.00000,80.01750
139002,5,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,1133937,410,2361,GBP,1,82.49250,74.24325,42.06000
139002,6,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,1133937,410,2043,GBP,2,499.45500,439.52040,165.48000
139003,0,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,1709426,670,1618,USD,1,35.39400,35.39400,16.27800
139003,1,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,1709426,670,1433,USD,6,554.40000,487.87200,254.95200
139003,2,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,1709426,670,440,USD,2,549.87500,494.88750,280.35000
139003,3,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,1709426,670,1624,USD,2,131.40000,116.94600,43.53600
139003,4,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,1709426,670,960,USD,8,236.80000,206.01600,108.89600
139003,5,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,1709426,670,1630,USD,2,13.73400,13.73400,4.54800
139004,0,2016-05-18 00:00:00.000,2016-05-18 00:00:00.000,1307908,610,1499,USD,1,558.00000,513.36000,256.60800
139005,0,2016-05-18 00:00:00.000,2016-05-22 00:00:00.000,953288,999999,1147,GBP,1,1048.00000,1048.00000,481.93600
139005,1,2016-05-18 00:00:00.000,2016-05-22 00:00:00.000,953288,999999,1775,GBP,2,30.10000,26.48800,15.34400
139005,2,2016-05-18 00:00:00.000,2016-05-22 00:00:00.000,953288,999999,2118,GBP,3,333.75000,290.36250,153.48000
