ProductKey,Brand,Manufacturer
1062,A. Datum,A. Datum Corporation
1070,A. Datum,A. Datum Corporation
1198,Fabrikam,"Fabrikam, Inc."
1367,Contoso,"Contoso, Ltd"
144,Adventure Works,Adventure Works
1440,The Phone Company,The Phone Company
1484,The Phone Company,The Phone Company
149,Adventure Works,Adventure Works
1492,The Phone Company,The Phone Company
1563,The Phone Company,The Phone Company
1709,Tailspin Toys,Tailspin Toys
175,Southridge Video,Southridge Video
1767,Tailspin Toys,Tailspin Toys
1805,Tailspin Toys,Tailspin Toys
1821,Tailspin Toys,Tailspin Toys
1862,Northwind Traders,Northwind Traders
1953,Litware,"Litware, Inc."
1959,Litware,"Litware, Inc."
2012,Fabrikam,"Fabrikam, Inc."
211,Litware,"Litware, Inc."
2145,Adventure Works,Adventure Works
2167,Fabrikam,"Fabrikam, Inc."
220,Litware,"Litware, Inc."
2235,Wide World Importers,Wide World Importers
2260,Wide World Importers,Wide World Importers
2271,Proseware,"Proseware, Inc."
2283,Proseware,"Proseware, Inc."
2403,Proseware,"Proseware, Inc."
252,Contoso,"Contoso, Ltd"
329,Southridge Video,Southridge Video
376,Adventure Works,Adventure Works
530,Wide World Importers,Wide World Importers
681,Proseware,"Proseware, Inc."
71,Northwind Traders,Northwind Traders
849,Contoso,"Contoso, Ltd"
85,Northwind Traders,Northwind Traders
884,Contoso,"Contoso, Ltd"
917,Southridge Video,Southridge Video
924,Southridge Video,Southridge Video
989,A. Datum,A. Datum Corporation
