Date,DateKey,Year,YearQuarter,YearQuarterNumber,Quarter,YearMonth,YearMonthShort,YearMonthNumber,Month,MonthShort,MonthNumber,DayofWeek,DayofWeekShort,DayofWeekNumber,WorkingDay,WorkingDayNumber
2016-01-25,20160125,2016,Q1-2016,8065,Q1,January 2016,Jan 2016,24193,January,Jan,1,Monday,Mon,2,1,15
2016-02-18,20160218,2016,Q1-2016,8065,Q1,February 2016,Feb 2016,24194,February,Feb,2,Thursday,Thu,5,1,32
2016-03-21,20160321,2016,Q1-2016,8065,Q1,March 2016,Mar 2016,24195,March,Mar,3,Monday,Mon,2,1,54
2016-05-23,20160523,2016,Q2-2016,8066,Q2,May 2016,May 2016,24197,May,May,5,Monday,Mon,2,1,99
2016-09-16,20160916,2016,Q3-2016,8067,Q3,September 2016,Sep 2016,24201,September,Sep,9,Friday,Fri,6,1,180
2016-10-17,20161017,2016,Q4-2016,8068,Q4,October 2016,Oct 2016,24202,October,Oct,10,Monday,Mon,2,1,200
2016-12-27,20161227,2016,Q4-2016,8068,Q4,December 2016,Dec 2016,24204,December,Dec,12,Tuesday,Tue,3,1,248
2017-03-21,20170321,2017,Q1-2017,8069,Q1,March 2017,Mar 2017,24207,March,Mar,3,Tuesday,Tue,3,1,305
2017-09-16,20170916,2017,Q3-2017,8071,Q3,September 2017,Sep 2017,24213,September,Sep,9,Saturday,Sat,7,0,430
2018-04-26,20180426,2018,Q2-2018,8074,Q2,April 2018,Apr 2018,24220,April,Apr,4,Thursday,Thu,5,1,582
2018-05-06,20180506,2018,Q2-2018,8074,Q2,May 2018,May 2018,24221,May,May,5,Sunday,Sun,1,0,588
2018-06-12,20180612,2018,Q2-2018,8074,Q2,June 2018,Jun 2018,24222,June,Jun,6,Tuesday,Tue,3,1,614
2018-07-23,20180723,2018,Q3-2018,8075,Q3,July 2018,Jul 2018,24223,July,Jul,7,Monday,Mon,2,1,642
2018-12-17,20181217,2018,Q4-2018,8076,Q4,December 2018,Dec 2018,24228,December,Dec,12,Monday,Mon,2,1,743
2019-03-07,20190307,2019,Q1-2019,8077,Q1,March 2019,Mar 2019,24231,March,Mar,3,Thursday,Thu,5,1,797
2019-07-10,20190710,2019,Q3-2019,8079,Q3,July 2019,Jul 2019,24235,July,Jul,7,Wednesday,Wed,4,1,884
2020-01-18,20200118,2020,Q1-2020,8081,Q1,January 2020,Jan 2020,24241,January,Jan,1,Saturday,Sat,7,0,1015
2020-02-09,20200209,2020,Q1-2020,8081,Q1,February 2020,Feb 2020,24242,February,Feb,2,Sunday,Sun,1,0,1029
2020-03-04,20200304,2020,Q1-2020,8081,Q1,March 2020,Mar 2020,24243,March,Mar,3,Wednesday,Wed,4,1,1046
2020-05-25,20200525,2020,Q2-2020,8082,Q2,May 2020,May 2020,24245,May,May,5,Monday,Mon,2,0,1103
2020-08-19,20200819,2020,Q3-2020,8083,Q3,August 2020,Aug 2020,24248,August,Aug,8,Wednesday,Wed,4,1,1164
2020-12-09,20201209,2020,Q4-2020,8084,Q4,December 2020,Dec 2020,24252,December,Dec,12,Wednesday,Wed,4,1,1240
2022-04-01,20220401,2022,Q2-2022,8090,Q2,April 2022,Apr 2022,24268,April,Apr,4,Friday,Fri,6,1,1568
2022-04-10,20220410,2022,Q2-2022,8090,Q2,April 2022,Apr 2022,24268,April,Apr,4,Sunday,Sun,1,0,1573
2022-05-25,20220525,2022,Q2-2022,8090,Q2,May 2022,May 2022,24269,May,May,5,Wednesday,Wed,4,1,1606
2022-06-29,20220629,2022,Q2-2022,8090,Q2,June 2022,Jun 2022,24270,June,Jun,6,Wednesday,Wed,4,1,1630
2023-04-18,20230418,2023,Q2-2023,8094,Q2,April 2023,Apr 2023,24280,April,Apr,4,Tuesday,Tue,3,1,1830
2023-10-26,20231026,2023,Q4-2023,8096,Q4,October 2023,Oct 2023,24286,October,Oct,10,Thursday,Thu,5,1,1963
2023-11-16,20231116,2023,Q4-2023,8096,Q4,November 2023,Nov 2023,24287,November,Nov,11,Thursday,Thu,5,1,1977
2024-01-21,20240121,2024,Q1-2024,8097,Q1,January 2024,Jan 2024,24289,January,Jan,1,Sunday,Sun,1,0,2019
2024-07-22,20240722,2024,Q3-2024,8099,Q3,July 2024,Jul 2024,24295,July,Jul,7,Monday,Mon,2,1,2147
2024-09-06,20240906,2024,Q3-2024,8099,Q3,September 2024,Sep 2024,24297,September,Sep,9,Friday,Fri,6,1,2180
2024-09-27,20240927,2024,Q3-2024,8099,Q3,September 2024,Sep 2024,24297,September,Sep,9,Friday,Fri,6,1,2195
2025-01-08,20250108,2025,Q1-2025,8101,Q1,January 2025,Jan 2025,24301,January,Jan,1,Wednesday,Wed,4,1,2263
2025-02-27,20250227,2025,Q1-2025,8101,Q1,February 2025,Feb 2025,24302,February,Feb,2,Thursday,Thu,5,1,2297
2025-09-23,20250923,2025,Q3-2025,8103,Q3,September 2025,Sep 2025,24309,September,Sep,9,Tuesday,Tue,3,1,2442
2025-10-10,20251010,2025,Q4-2025,8104,Q4,October 2025,Oct 2025,24310,October,Oct,10,Friday,Fri,6,1,2455
2026-04-27,20260427,2026,Q2-2026,8106,Q2,April 2026,Apr 2026,24316,April,Apr,4,Monday,Mon,2,1,2589
2026-05-27,20260527,2026,Q2-2026,8106,Q2,May 2026,May 2026,24317,May,May,5,Wednesday,Wed,4,1,2610
2026-06-11,20260611,2026,Q2-2026,8106,Q2,June 2026,Jun 2026,24318,June,Jun,6,Thursday,Thu,5,1,2621
