CustomerKey,Continent,Country
1006835,Europe,GB
1024253,Europe,GB
103048,Australia,AU
113981,Australia,AU
1154362,Europe,GB
12271,Australia,AU
133401,Australia,AU
1353365,North America,US
1376669,North America,US
1605449,North America,US
1626723,North America,US
1717208,North America,US
1761845,North America,US
1778559,North America,US
1824467,North America,US
1828494,North America,US
1928515,North America,US
1938738,North America,US
1947036,North America,US
1985990,North America,US
2084697,North America,US
24225,Australia,AU
24793,Australia,AU
26977,Australia,AU
27638,Australia,AU
33436,Australia,AU
37974,Australia,AU
476336,Europe,DE
527514,Europe,DE
554819,Europe,DE
766538,Europe,IT
76868,Australia,AU
809977,Europe,NL
84611,Australia,AU
846266,Europe,NL
868393,Europe,NL
889823,Europe,NL
946627,Europe,GB
964004,Europe,GB
97222,Australia,AU
