Country,CountryFull,Continent
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
US,United States,North America
