CustomerKey,GeoAreaKey,StartDT,EndDT,Continent,CountryFull,Country,StateFull,State,City,ZipCode,Gender,age_band_5y
1010809,421,1982-10-04,2034-05-26,Europe,United Kingdom,GB,Wealden,Wealden,Pound Green,TN22 7BE,male,30
1145630,401,1989-01-15,2036-11-30,Europe,United Kingdom,GB,Thurrock,Thurrock,North Stifford,RM16 7FF,male,40
1146541,443,1984-10-21,2032-12-08,Europe,United Kingdom,GB,Wolverhampton,Wolverhampton,Lower Penn,WV4 0QE,male,45
1179077,278,1981-03-06,2042-04-09,Europe,United Kingdom,GB,Mole Valley,Mole Valley,Little Bookham,KT23 8UP,male,85
1238930,611,2003-02-24,2031-03-29,North America,United States,US,Virginia,VA,Arlington,22202,female,80
1313108,590,1992-04-18,2025-04-05,North America,United States,US,Missouri,MO,Kansas City,64106,male,55
1359617,609,1997-10-29,2042-03-29,North America,United States,US,Texas,TX,Fritch,79036,male,50
138649,7,1987-04-16,2035-09-28,Australia,Australia,AU,Victoria,VIC,Basalt,3460,male,35
1477753,609,1984-07-20,2038-04-19,North America,United States,US,Texas,TX,San Antonio,78240,male,50
1499183,588,1994-11-02,2021-09-17,North America,United States,US,Michigan,MI,Grand Rapids,49503,male,65
1525475,570,1995-01-14,2029-06-30,North America,United States,US,California,CA,Los Angeles,90017,male,55
1652593,611,1984-10-26,2045-11-25,North America,United States,US,Virginia,VA,Woodstock,22664,female,40
1672041,570,1997-02-15,2034-12-03,North America,United States,US,California,CA,Hayward,94545,female,55
1713371,580,1982-06-02,2030-04-16,North America,United States,US,Illinois,IL,Chicago,60605,female,50
1757430,598,1980-10-25,2032-12-18,North America,United States,US,New Mexico,NM,Albuquerque,87102,female,25
1762288,604,1986-06-12,2035-06-02,North America,United States,US,Pennsylvania,PA,Birdsboro,19508,female,45
1818936,600,1993-03-27,2013-02-12,North America,United States,US,New York,NY,Albany,12210,male,75
1831088,590,2007-08-10,2037-07-19,North America,United States,US,Missouri,MO,Greenfield,65661,female,65
2024660,609,2001-10-01,2010-12-28,North America,United States,US,Texas,TX,Houston,77063,male,25
2075011,575,1980-09-25,2045-03-16,North America,United States,US,Florida,FL,Gainesville,32601,male,55
219303,10,1984-08-12,2044-01-26,North America,Canada,CA,British Columbia,BC,Kelowna,V1Y 8H2,male,30
242958,17,1994-01-06,2036-05-19,North America,Canada,CA,Ontario,ON,London,N6A 3M9,female,65
288673,17,1999-08-21,2022-07-28,North America,Canada,CA,Ontario,ON,Malton,L4V 1R9,female,55
294238,9,1983-07-24,2020-09-04,North America,Canada,CA,Alberta,AB,Edmonton,T5J 2R4,female,80
334818,17,2006-10-15,2045-01-30,North America,Canada,CA,Ontario,ON,Gravenhurst,P1P 1X2,male,30
386358,9,1990-01-19,2041-12-21,North America,Canada,CA,Alberta,AB,Edmonton,T5J 2R4,female,25
415584,25,1982-06-30,2025-04-09,Europe,Germany,DE,Freistaat Bayern,BY,Schweinfurt,97409,female,85
433459,32,1989-02-08,2032-09-20,Europe,Germany,DE,Rheinland-Pfalz,RP,Bendorf,56170,male,30
536920,37,1987-06-12,2032-04-11,Europe,Germany,DE,Freistaat Thüringen,TH,Nordhausen,99722,male,60
557754,24,2006-09-22,2019-02-16,Europe,Germany,DE,Baden-Württemberg,BW,Zimmern,78658,female,40
583549,32,1988-11-11,2015-12-07,Europe,Germany,DE,Rheinland-Pfalz,RP,Jettenbach,66887,female,45
645980,64,2007-02-28,2044-05-29,Europe,France,FR,Rhône-Alpes,RA,Voiron,38500,female,85
655204,59,2000-12-13,2034-06-01,Europe,France,FR,Nord-Pas-de-Calais,NP,Dunkerque,59240,male,60
68355,7,1982-04-11,2027-08-10,Australia,Australia,AU,Victoria,VIC,Portsea,3944,male,65
715846,487,1991-01-24,2034-07-09,Europe,Italy,IT,Genova,GE,Pontedecimo,16164,male,70
767456,518,1991-08-14,2020-11-10,Europe,Italy,IT,Parma,PR,San Secondo Parmense,43017,female,90
811726,555,1983-11-30,2010-11-26,Europe,Netherlands,NL,Flevoland,FL,Almere,1321 GA,female,75
927831,127,1984-07-21,2044-12-04,Europe,United Kingdom,GB,Carmarthenshire,Carmarthenshire,Llandissilio,SA66 5UY,male,35
935050,132,1983-02-06,2039-03-20,Europe,United Kingdom,GB,Chelmsford,Chelmsford,South Woodham Ferrers,CM3 4JL,female,85
951778,216,2006-06-06,2016-06-24,Europe,United Kingdom,GB,Harrogate,Harrogate,Flaxby,HG5 2JE,female,85
