Date,FromCurrency,ToCurrency,Exchange
2016-01-29,GBP,GBP,1.00000
2016-02-13,USD,EUR,0.88692
2016-03-26,EUR,EUR,1.00000
2016-07-11,USD,EUR,0.90506
2016-08-31,GBP,CAD,1.71957
2017-01-31,AUD,USD,0.75750
2017-05-12,CAD,USD,0.72793
2017-10-01,EUR,EUR,1.00000
2017-10-22,CAD,EUR,0.67728
2017-12-07,GBP,USD,1.33828
2018-01-02,AUD,CAD,0.98151
2018-04-21,CAD,AUD,1.02738
2019-08-08,AUD,CAD,0.90238
2019-11-06,USD,CAD,1.31641
2019-12-14,CAD,USD,0.75952
2019-12-24,CAD,CAD,1.00000
2020-03-17,AUD,USD,0.60054
2020-04-04,AUD,EUR,0.55543
2020-04-27,USD,GBP,0.80412
2020-06-17,GBP,AUD,1.82139
2020-09-14,GBP,CAD,1.69660
2020-10-24,EUR,EUR,1.00000
2021-03-30,GBP,AUD,1.80597
2021-10-29,AUD,AUD,1.00000
2021-12-02,CAD,USD,0.78060
2022-01-02,CAD,AUD,1.08490
2022-01-13,GBP,USD,1.37207
2022-02-14,EUR,GBP,0.83720
2022-08-29,CAD,GBP,0.65577
2022-11-14,EUR,USD,1.03190
2023-01-10,USD,AUD,1.45631
2023-03-19,CAD,USD,0.72840
2023-07-18,EUR,GBP,0.85838
2024-04-28,AUD,USD,0.65361
2024-11-13,USD,USD,1.00000
2024-11-23,EUR,USD,1.10500
2025-03-01,CAD,AUD,1.15332
2025-03-18,AUD,USD,0.63955
2025-10-20,USD,EUR,0.91008
2025-12-31,CAD,GBP,0.62737
