CustomerKey,GeoAreaKey,State,StateFull,Country
1005331,202,Gloucester,Gloucester,GB
1014652,226,Highland,Highland,GB
1029089,349,Shropshire,Shropshire,GB
1031495,73,Argyllshire,Argyllshire,GB
1092993,376,Staffordshire,Staffordshire,GB
1167132,384,Suffolk Coastal,Suffolk Coastal,GB
1197090,430,West Lothian,West Lothian,GB
123894,5,SA,South Australia,AU
132651,2,NSW,New South Wales,AU
1337871,611,VA,Virginia,US
1378188,609,TX,Texas,US
1434873,599,NV,Nevada,US
1436121,613,WA,Washington,US
1471536,569,AZ,Arizona,US
1577420,609,TX,Texas,US
1671301,570,CA,California,US
1748737,586,MD,Maryland,US
1754369,601,OH,Ohio,US
1805203,590,MO,Missouri,US
1807747,609,TX,Texas,US
1953775,585,MA,Massachusetts,US
2056414,572,CT,Connecticut,US
2063312,588,MI,Michigan,US
324080,17,ON,Ontario,CA
366820,19,QC,Quebec,CA
403847,30,NI,Niedersachsen,DE
580984,32,RP,Rheinland-Pfalz,DE
584643,31,NW,Nordrhein-Westfalen,DE
632361,51,IL,Île-de-France,FR
648357,54,LO,Lorraine,FR
66014,2,NSW,New South Wales,AU
669858,60,PA,Provence-Alpes-Côte d'Azur,FR
684668,60,PA,Provence-Alpes-Côte d'Azur,FR
710118,534,SP,La Spezia,IT
735998,475,CN,Cuneo,IT
78722,7,VIC,Victoria,AU
87330,5,SA,South Australia,AU
949257,191,Falkirk,Falkirk,GB
953370,147,Cornwall,Cornwall,GB
985299,222,Hereford,Hereford,GB
