GeoAreaKey,State,StoreKey,CountryCode
12,New Brunswick,70,CA
15,Northwest Territories,90,CA
193,Fermanagh,410,GB
21,Yukon,110,CA
22,Brandenburg,200,DE
23,Berlin,190,DE
27,Hessen,240,DE
28,Hamburg,230,DE
29,Mecklenburg-Vorpommern,250,DE
291,North Down,420,GB
34,Saarland,260,DE
36,Sachsen-Anhalt,270,DE
37,Freistaat Thüringen,220,DE
46,Corse,130,FR
474,Caltanissetta,280,IT
481,Enna,290,IT
519,Pesaro,300,IT
52,Limousin,160,FR
55,La Réunion,150,FR
555,Flevoland,320,NL
556,Friesland,330,NL
558,Groningen,340,NL
57,Martinique,170,FR
572,Connecticut,450,US
573,Washington DC,650,US
574,Delaware,465,US
577,Hawaii,470,US
578,Iowa,490,US
582,Kansas,500,US
587,Maine,510,US
594,North Dakota,580,US
595,Nebraska,540,US
596,New Hampshire,560,US
6,Tasmania,40,AU
605,Rhode Island,600,US
606,South Carolina,610,US
616,Wyoming,670,US
7,Victoria,50,AU
8,Western Australia,60,AU
96,Blaenau Gwent,390,GB
