OrderKey,RowNumber,Quantity,UnitPrice,CurrencyCode,OrderDate
1445001,6,2,269.10000,GBP,2019-12-15
1462017,4,7,448.00000,USD,2020-01-01
1575017,1,2,521.51180,GBP,2020-04-23
1899016,3,3,334.60000,CAD,2021-03-13
2048008,0,1,404.85000,GBP,2021-08-09
2129015,3,1,406.00000,GBP,2021-10-29
2473041,2,2,148.50000,USD,2022-10-08
2527008,0,4,33.20800,USD,2022-12-01
2547050,2,4,65.78600,USD,2022-12-21
2571013,0,1,293.55000,CAD,2023-01-14
2608051,5,2,358.40000,AUD,2023-02-20
2699027,3,3,703.50000,AUD,2023-05-22
2718090,0,2,305.10000,EUR,2023-06-10
2718090,2,2,388.50000,EUR,2023-06-10
2785013,2,2,289.00000,USD,2023-08-16
2877069,1,2,4.99000,CAD,2023-11-16
2942038,2,2,190.00000,EUR,2024-01-20
2969024,1,1,382.95000,USD,2024-02-16
2982011,2,1,1592.20000,EUR,2024-02-29
3082069,0,1,219.00000,EUR,2024-06-08
3088000,0,1,1184.97000,EUR,2024-06-14
3092010,4,2,326.00000,AUD,2024-06-18
3096046,0,4,269.95000,GBP,2024-06-22
3101019,1,3,13.89000,EUR,2024-06-27
3209005,2,4,508.00000,CAD,2024-10-13
3230000,2,1,129.00000,USD,2024-11-03
3234025,0,2,589.00000,USD,2024-11-07
3239022,0,2,55.00000,CAD,2024-11-12
3331059,0,2,43.81000,USD,2025-02-12
3354011,0,1,300.00000,USD,2025-03-07
3417039,1,6,673.00000,CAD,2025-05-09
3464054,2,7,208.00000,USD,2025-06-25
3488062,2,3,480.50000,CAD,2025-07-19
3493020,1,2,637.00000,USD,2025-07-24
3567018,0,2,919.00000,USD,2025-10-06
3600017,2,2,60.99000,USD,2025-11-08
3611029,1,1,1299.00000,EUR,2025-11-19
621007,0,7,52.18200,USD,2017-09-12
758012,1,1,279.96000,CAD,2018-01-27
851006,0,1,922.50000,EUR,2018-04-30
