OrderKey,RowNumber,Quantity,NetPrice,CurrencyCode,OrderDate
1235000,0,3,652.80105,USD,2019-05-19
1462010,2,1,73.69200,EUR,2020-01-01
1507005,1,3,35.21700,EUR,2020-02-15
1541000,0,4,207.45900,EUR,2020-03-20
1720004,1,1,656.12000,USD,2020-09-15
1826015,2,1,34.05600,AUD,2020-12-30
1841012,4,5,66.96716,USD,2021-01-14
1899016,3,3,334.60000,CAD,2021-03-13
2129015,3,1,406.00000,GBP,2021-10-29
2228028,0,5,28.33600,AUD,2022-02-05
2289001,0,4,5.41026,CAD,2022-04-07
2412017,1,3,75.49432,USD,2022-08-08
2577022,0,7,300.01950,AUD,2023-01-20
2590052,2,1,276.92000,CAD,2023-02-02
2608051,5,2,358.40000,AUD,2023-02-20
2676030,3,1,158.39208,CAD,2023-04-29
2683077,3,8,222.28765,EUR,2023-05-06
2699027,3,3,703.50000,AUD,2023-05-22
2718090,0,2,305.10000,EUR,2023-06-10
2751011,5,2,29.60100,USD,2023-07-13
2851014,0,1,234.08000,AUD,2023-10-21
2851075,0,3,234.81300,CAD,2023-10-21
2871027,3,6,235.84000,USD,2023-11-10
2982011,2,1,1592.20000,EUR,2024-02-29
3053024,0,3,592.68660,EUR,2024-05-10
3088000,0,1,1184.97000,EUR,2024-06-14
3096002,2,2,44.00000,EUR,2024-06-22
3096046,0,4,269.95000,GBP,2024-06-22
3101019,1,3,13.89000,EUR,2024-06-27
3193001,1,3,282.10000,USD,2024-09-27
3331059,0,2,43.81000,USD,2025-02-12
3354011,0,1,300.00000,USD,2025-03-07
3368022,0,9,8.27080,USD,2025-03-21
3452020,0,3,171.00000,CAD,2025-06-13
3475002,1,3,13.75110,EUR,2025-07-06
365010,1,4,108.81000,USD,2016-12-30
621007,0,7,52.18200,USD,2017-09-12
758012,1,1,279.96000,CAD,2018-01-27
851006,0,1,922.50000,EUR,2018-04-30
912000,0,6,1998.70000,CAD,2018-06-30
