OrderKey,OrderDate,DeliveryDate,CustomerKey,StoreKey,CurrencyCode
1052021,2018-11-17,2018-11-17,232207,90,CAD
1394021,2019-10-25,2019-10-25,529562,220,EUR
1419026,2019-11-19,2019-11-19,1565633,560,USD
1518063,2020-02-26,2020-02-26,1896050,590,USD
153009,2016-06-01,2016-06-01,545955,270,EUR
1983028,2021-06-05,2021-06-05,789536,290,EUR
1997025,2021-06-19,2021-06-19,777164,290,EUR
2025025,2021-07-17,2021-07-23,1439287,999999,USD
2104012,2021-10-04,2021-10-04,1580514,610,USD
2322008,2022-05-10,2022-05-10,279151,80,CAD
2399013,2022-07-26,2022-07-31,670169,999999,EUR
2469018,2022-10-04,2022-10-04,2033461,670,USD
2538002,2022-12-12,2022-12-12,1410804,660,USD
2550040,2022-12-24,2022-12-24,845860,310,EUR
2559001,2023-01-02,2023-01-02,1762028,540,USD
2576027,2023-01-19,2023-01-19,1547248,660,USD
2622013,2023-03-06,2023-03-07,2043191,999999,USD
2632040,2023-03-16,2023-03-16,1923900,490,USD
2634006,2023-03-18,2023-03-21,1144685,999999,GBP
2659015,2023-04-12,2023-04-12,975717,370,GBP
2672008,2023-04-25,2023-04-28,1145310,999999,GBP
2714035,2023-06-06,2023-06-06,619071,150,EUR
2715062,2023-06-07,2023-06-11,1617959,999999,USD
2729002,2023-06-21,2023-06-21,176790,50,AUD
2778056,2023-08-09,2023-08-11,744644,999999,EUR
2780020,2023-08-11,2023-08-16,2046845,999999,USD
2795009,2023-08-26,2023-08-30,1839355,999999,USD
2862050,2023-11-01,2023-11-04,1262429,999999,USD
2939021,2024-01-17,2024-01-22,1245918,999999,USD
2948040,2024-01-26,2024-01-28,2083246,999999,USD
2989034,2024-03-07,2024-03-10,1268902,999999,USD
3189017,2024-09-23,2024-09-23,669485,130,EUR
3235014,2024-11-08,2024-11-13,1212628,999999,USD
3325041,2025-02-06,2025-02-06,1925124,540,USD
3420000,2025-05-12,2025-05-12,1707053,670,USD
3424035,2025-05-16,2025-05-17,1756449,999999,USD
3431018,2025-05-23,2025-05-25,1146302,999999,GBP
3435036,2025-05-27,2025-05-31,1605191,999999,USD
798005,2018-03-08,2018-03-14,282871,999999,CAD
890008,2018-06-08,2018-06-08,1859358,465,USD
