OrderKey,RowNumber,OrderDate,DeliveryDate,CustomerKey,StoreKey,ProductKey,CurrencyCode,Quantity,UnitPrice,NetPrice,UnitCost
1318011,0,2019-08-10,2019-08-10,1708631,560,450,USD,2,1838.00000,1838.00000,608.96000
1376007,0,2019-10-07,2019-10-07,475340,240,1417,EUR,6,428.80000,377.34400,197.18400
1377025,1,2019-10-08,2019-10-08,481314,270,1120,EUR,1,854.10000,760.14900,282.98400
1388026,1,2019-10-19,2019-10-19,1488003,670,1378,USD,1,35.20000,31.32800,16.19200
1441024,5,2019-12-11,2019-12-11,1558333,490,56,USD,8,242.72000,242.72000,80.41740
1626007,2,2020-06-13,2020-06-16,1289675,999999,1718,USD,7,63.11700,63.11700,29.02500
1633000,0,2020-06-20,2020-06-20,1462557,540,927,USD,3,67.98000,59.14260,34.66000
1656001,0,2020-07-13,2020-07-13,1325603,450,1585,USD,7,20.60100,18.74691,6.82200
1785002,0,2020-11-19,2020-11-23,231462,999999,53,CAD,3,242.72000,242.72000,80.41740
2345030,1,2022-06-02,2022-06-04,2008910,999999,452,USD,4,329.92500,329.92500,168.21000
2355000,0,2022-06-12,2022-06-15,896106,999999,2095,EUR,4,1327.50000,1287.67500,439.83000
2564025,4,2023-01-07,2023-01-07,335860,74,2113,CAD,7,457.20000,420.62400,233.09100
2581008,0,2023-01-24,2023-01-24,312811,100,2516,CAD,3,4.69000,4.69000,2.39400
2720026,2,2023-06-12,2023-06-15,96477,999999,1708,AUD,5,63.11700,56.17413,29.02500
2742016,1,2023-07-04,2023-07-04,693793,180,1984,EUR,1,199.99000,199.99000,91.97000
2746018,1,2023-07-08,2023-07-10,376271,999999,1593,CAD,1,13.89000,13.89000,6.39000
2767007,0,2023-07-29,2023-07-29,101446,40,2513,AUD,2,129.99000,114.39120,43.07000
2800017,0,2023-08-31,2023-08-31,1211990,450,1944,USD,5,129.99000,129.99000,66.27000
2822035,0,2023-09-22,2023-09-22,164427,40,1412,AUD,1,289.00000,289.00000,132.90000
2837039,0,2023-10-07,2023-10-07,1530876,610,404,USD,2,1299.00000,1299.00000,430.38000
2881032,2,2023-11-20,2023-11-24,1924268,999999,370,USD,3,382.95000,333.16650,195.24000
2882018,1,2023-11-21,2023-11-21,80581,60,545,AUD,6,459.00000,426.87000,152.08000
2918042,0,2023-12-27,2023-12-28,1026502,999999,1611,GBP,2,159.99000,158.39010,73.57000
2954055,1,2024-02-01,2024-02-03,1789929,999999,2369,USD,9,635.99000,604.19050,210.72000
2973044,0,2024-02-20,2024-02-22,1183960,999999,1530,GBP,1,266.00000,236.74000,122.32000
3005026,0,2024-03-23,2024-03-26,1658786,999999,496,USD,3,179.00000,159.31000,82.32000
3021000,0,2024-04-08,2024-04-08,1487179,480,642,USD,5,159.00000,139.92000,73.12000
3044011,0,2024-05-01,2024-05-05,1385669,999999,786,USD,5,11.50000,10.35000,5.86000
310016,1,2016-11-05,2016-11-05,489751,255,964,EUR,1,464.00000,464.00000,153.72800
3114036,0,2024-07-10,2024-07-12,99873,999999,1436,AUD,1,258.00000,227.04000,118.65000
3203029,0,2024-10-07,2024-10-09,969684,999999,1448,GBP,3,256.00000,225.28000,117.73000
3227003,2,2024-10-31,2024-11-01,240841,999999,1706,CAD,2,8.88000,7.81440,4.08000
3282028,2,2024-12-25,2024-12-26,1877088,999999,2398,USD,2,459.99000,459.99000,211.53000
3291040,1,2025-01-03,2025-01-03,1582746,500,1700,USD,3,8.88000,8.08080,4.08000
3402013,1,2025-04-24,2025-04-28,432442,999999,1619,EUR,2,59.99000,51.59140,27.59000
3534016,1,2025-09-03,2025-09-03,576957,240,1128,EUR,2,627.00000,570.57000,207.74000
3569043,2,2025-10-08,2025-10-08,1623939,500,1601,USD,2,159.99000,159.99000,73.57000
3590021,1,2025-10-29,2025-11-01,206284,999999,304,CAD,1,699.00000,615.12000,321.44000
3647026,0,2025-12-25,2025-12-29,249814,999999,1193,CAD,1,566.00000,498.08000,260.28000
949005,0,2018-08-06,2018-08-06,693734,130,270,EUR,6,386.10000,382.23900,177.55200
