ProductKey,CategoryKey,CategoryName
1046,4,Cameras and camcorders
1064,4,Cameras and camcorders
109,1,Audio
1208,4,Cameras and camcorders
1256,4,Cameras and camcorders
1266,4,Cameras and camcorders
1378,5,Cell phones
1384,5,Cell phones
1415,5,Cell phones
1505,5,Cell phones
1507,5,Cell phones
1573,6,"Music, Movies and Audio Books"
1578,6,"Music, Movies and Audio Books"
1625,6,"Music, Movies and Audio Books"
1651,6,"Music, Movies and Audio Books"
1652,6,"Music, Movies and Audio Books"
1701,7,Games and Toys
1732,7,Games and Toys
174,2,TV and Video
1777,7,Games and Toys
1803,7,Games and Toys
1815,7,Games and Toys
1995,8,Home Appliances
2051,8,Home Appliances
212,2,TV and Video
2186,8,Home Appliances
2289,8,Home Appliances
2443,8,Home Appliances
250,2,TV and Video
272,2,TV and Video
281,2,TV and Video
50,1,Audio
522,3,Computers
612,3,Computers
632,3,Computers
65,1,Audio
75,1,Audio
767,3,Computers
873,3,Computers
9,1,Audio
