ProductKey,SubCategoryKey,SubCategoryName,CategoryKey
1119,402,Digital SLR Cameras,4
1167,405,Camcorders,4
1304,406,Cameras & Camcorders Accessories,4
136,201,Televisions,2
1385,501,Home & Office Phones,5
1399,501,Home & Office Phones,5
1463,503,Touch Screen Phones,5
1530,504,Smart phones & PDAs,5
1582,602,Movie DVD,6
1614,602,Movie DVD,6
1676,701,Boxed Games,7
169,202,VCD & DVD,2
1690,701,Boxed Games,7
1708,702,Download Games,7
1759,702,Download Games,7
1838,801,Washers & Dryers,8
1849,801,Washers & Dryers,8
1911,802,Refrigerators,8
1961,802,Refrigerators,8
2079,803,Microwaves,8
2105,804,Water Heaters,8
2186,805,Coffee Machines,8
2229,806,Lamps,8
232,203,Home Theater System,2
2400,807,Air Conditioners,8
2461,808,Fans,8
2512,505,Cell phones Accessories,5
308,205,Car Video,2
36,101,MP4&MP3,1
389,301,Laptops,3
457,303,Desktops,3
477,304,Monitors,3
582,305,Projectors & Screens,3
64,104,Recording Pen,1
653,306,"Printers, Scanners & Fax",3
67,106,Bluetooth Headphones,1
690,306,"Printers, Scanners & Fax",3
772,308,Computers Accessories,3
918,308,Computers Accessories,3
968,401,Digital Cameras,4
