StoreKey,StoreCode,GeoAreaKey,CountryCode,CountryName,State,Description,OpenDate,CloseDate,SquareMeters,Status
10,1,1,AU,Australia,Australian Capital Territory,Contoso Store Australian Capital Territory,2008-01-01,,595,
100,10,16,CA,Canada,Nunavut,Contoso Store Nunavut,2015-04-04,,1210,
120,12,41,FR,France,Basse-Normandie,Contoso Store Basse-Normandie,2012-06-06,,350,
140,14,47,FR,France,Franche-Comté,Contoso Store Franche-Comté,2009-12-15,,350,
160,16,52,FR,France,Limousin,Contoso Store Limousin,2010-06-03,,385,
190,19,23,DE,Germany,Berlin,Contoso Store Berlin,2015-04-04,,1295,
20,2,3,AU,Australia,Northern Territory,Contoso Store Northern Territory,2008-01-12,2016-07-07,665,Closed
200,20,22,DE,Germany,Brandenburg,Contoso Store Brandenburg,2012-12-15,2019-08-08,1715,Closed
240,24,27,DE,Germany,Hessen,Contoso Store Hessen,2012-12-15,,1855,
255,25,29,DE,Germany,Mecklenburg-Vorpommern,Contoso Store Mecklenburg-Vorpommern,2015-08-08,,2800,
270,27,36,DE,Germany,Sachsen-Anhalt,Contoso Store Sachsen-Anhalt,2008-08-08,,2000,
290,29,481,IT,Italy,Enna,Contoso Store Enna,2008-01-01,,1000,
30,3,5,AU,Australia,South Australia,Contoso Store South Australia,2012-01-07,2015-08-08,2000,Restructured
300,30,519,IT,Italy,Pesaro,Contoso Store Pesaro,2008-01-12,,2100,
320,32,555,NL,Netherlands,Flevoland,Contoso Store Flevoland,2010-01-01,,910,
330,33,556,NL,Netherlands,Friesland,Contoso Store Friesland,2015-12-09,,1540,
340,34,558,NL,Netherlands,Groningen,Contoso Store Groningen,2010-01-01,,1365,
35,3,5,AU,Australia,South Australia,Contoso Store South Australia,2015-12-08,,3000,
350,35,564,NL,Netherlands,Zeeland,Contoso Store Zeeland,2007-05-07,2015-07-06,1225,Closed
390,39,96,GB,United Kingdom,Blaenau Gwent,Contoso Store Blaenau Gwent,2009-06-03,,2100,
430,43,566,US,United States,Alaska,Contoso Store Alaska,2015-01-01,,1190,
440,44,568,US,United States,Arkansas,Contoso Store Arkansas,2010-06-03,,2000,
460,46,574,US,United States,Delaware,Contoso Store Delaware,2012-08-08,2015-03-03,1015,Restructured
470,47,577,US,United States,Hawaii,Contoso Store Hawaii,2015-04-04,,1120,
480,48,579,US,United States,Idaho,Contoso Store Idaho,2012-12-15,,1540,
490,49,578,US,United States,Iowa,Contoso Store Iowa,2018-06-03,,2000,
50,5,7,AU,Australia,Victoria,Contoso Store Victoria,2015-12-09,,2000,
520,52,591,US,United States,Mississippi,Contoso Store Mississippi,2009-06-03,2015-06-03,2000,Closed
550,55,599,US,United States,Nevada,Contoso Store Nevada,2009-12-15,,2000,
560,56,596,US,United States,New Hampshire,Contoso Store New Hampshire,2015-01-01,,1260,
570,57,598,US,United States,New Mexico,Contoso Store New Mexico,2010-06-03,,1645,
590,59,603,US,United States,Oregon,Contoso Store Oregon,2012-08-08,,2000,
60,6,8,AU,Australia,Western Australia,Contoso Store Western Australia,2010-01-01,,2000,
600,60,605,US,United States,Rhode Island,Contoso Store Rhode Island,2005-04-04,2013-12-05,1260,Restructured
605,60,605,US,United States,Rhode Island,Contoso Store Rhode Island,2014-06-03,,1260,
610,61,606,US,United States,South Carolina,Contoso Store South Carolina,2012-12-15,,2000,
620,62,607,US,United States,South Dakota,Contoso Store South Dakota,2018-06-03,,1120,
650,65,573,US,United States,Washington DC,Contoso Store Washington DC,2010-01-01,,1330,
72,7,12,CA,Canada,New Brunswick,Contoso Store New Brunswick,2015-01-11,2018-02-02,1500,Restructured
80,8,13,CA,Canada,Newfoundland and Labrador,Contoso Store Newfoundland and Labrador,2014-07-02,,2105,
